dataset,model,epochs,rmse,time_s,time_fmt,status
Office Products → Movies and TV,SLA,50,1.2064225122816796,46.19875708402833,46.2s,OK
Office Products → Movies and TV,CMF,50,1.172257900238037,88.11894233396742,1m 28.1s,OK
Sports and Outdoors → CDs and Vinyls,SLA,50,0.9902347336523641,46.46719724999275,46.5s,OK
Sports and Outdoors → CDs and Vinyls,CMF,50,0.7942960262298584,64.93789604102494,1m 4.9s,OK
Android Apps → Video Games,SLA,50,1.1858483261959132,14.055183916003443,14.1s,OK
Android Apps → Video Games,CMF,50,1.153287410736084,13.707684500026517,13.7s,OK
Toys and Games → Automotive,SLA,50,1.0852037693953978,29.420218333019875,29.4s,OK
Toys and Games → Automotive,CMF,50,1.0181437730789185,15.437831291987095,15.4s,OK
